Product_Key,Product_Name,Category,Sub_Category,Brand,Unit_Price,Unit_Cost,Warranty_Months,Launch_Year,Product_Status
PRD-000068,Samsung Netgear Insight AP,Networking,Access Point,Samsung,1092.64,498.67,24,2022,Active
PRD-000069,TP-Link Sony WH-1000XM5,Accessories,Headset,TP-Link,1473.81,857.37,32,2021,Active
PRD-000070,Ubiquiti Microsoft Ergonomic Mouse,Accessories,Mouse,Ubiquiti,1877.87,1039.32,20,2021,Active
PRD-000071,Logitech Hardcover Journal,Office Supplies,Notebook,Logitech,554.18,257.38,12,2021,Active
PRD-000072,Steelcase TP-Link Archer,Networking,Router,Steelcase,1386.04,693.04,24,2025,Active
PRD-000073,Epson Dell Latitude 7440,Electronics,Laptop,Epson,1355.98,644.76,30,2021,Active
PRD-000074,Sony Dell Latitude 7440,Electronics,Laptop,Sony,1450.29,1008.57,12,2024,Active
PRD-000075,Samsung HP Business Keyboard,Accessories,Keyboard,Samsung,2213.53,1273.49,24,2024,Active
PRD-000076,HP Netgear Smart Switch,Networking,Switch,HP,2317.04,1098.13,35,2022,Active
PRD-000077,Logitech Spiral Notebook,Office Supplies,Notebook,Logitech,865.33,561.76,21,2025,Active
PRD-000078,Ubiquiti HP EliteBook 840,Electronics,Laptop,Ubiquiti,244.29,133.74,16,2021,Active
PRD-000079,Cisco Pentel EnerGel,Office Supplies,Pen,Cisco,688.79,449.89,35,2021,Active
PRD-000080,ASUS Jabra Evolve2 65,Accessories,Headset,ASUS,560.54,400.76,27,2025,Active
PRD-000081,Sony Hardcover Journal,Office Supplies,Notebook,Sony,482.63,349.43,17,2023,Active
PRD-000082,Brother Dell Latitude 7440,Electronics,Laptop,Brother,2173.81,1197.91,32,2025,Active
PRD-000083,TP-Link HP Bluetooth Mouse,Accessories,Mouse,TP-Link,2117.86,1073.63,17,2025,Active
PRD-000084,Microsoft Pilot G2,Office Supplies,Pen,Microsoft,932.39,672.07,33,2025,Active
PRD-000085,Logitech Dell Latitude 7440,Electronics,Laptop,Logitech,832.55,469.51,12,2021,Active
PRD-000086,Epson TP-Link Easy Smart,Networking,Switch,Epson,1989.63,1260.94,15,2025,Active
PRD-000087,Epson MacBook Pro 14,Electronics,Laptop,Epson,1258.29,831.07,17,2024,Active
PRD-000088,Canon HP Business Keyboard,Accessories,Keyboard,Canon,1307.79,607.5,14,2025,Active
PRD-000089,ASUS Standing Desk Pro,Furniture,Desk,ASUS,140.33,89.95,30,2020,Active
PRD-000090,Logitech Meeting Notebook,Office Supplies,Notebook,Logitech,1045.27,593.22,20,2025,Active
PRD-000091,Herman Miller Presentation Paper,Office Supplies,Paper,Herman Miller,1168.92,844.26,23,2025,Active
PRD-000092,Samsung Mobile Pedestal,Furniture,Cabinet,Samsung,527.99,263.1,17,2020,Active
PRD-000093,Brother Dell UltraSharp 27,Electronics,Monitor,Brother,1977.01,1300.86,12,2024,Active
PRD-000094,Netgear Adjustable Desk,Furniture,Desk,Netgear,595.09,290.67,17,2022,Active
PRD-000095,Brother Cisco Business Router,Networking,Router,Brother,2322.86,1260.18,35,2022,Active
PRD-000096,HP HP Business Keyboard,Accessories,Keyboard,HP,625.34,341.66,36,2022,Active
PRD-000097,Bose Vertex Office Chair,Furniture,Chair,Bose,1163.08,765.12,31,2021,Active
PRD-000098,ASUS Razer Pro Click,Accessories,Mouse,ASUS,230.15,152.91,17,2023,Discontinued
PRD-000099,Dell D-Link DIR,Networking,Router,Dell,1811.97,832.32,35,2022,Active
PRD-000100,Bose HP LaserJet Pro,Electronics,Printer,Bose,243.23,139.19,26,2024,Discontinued
PRD-000101,Brother Poly Voyager,Accessories,Headset,Brother,1422.97,913.28,16,2021,Active
PRD-000102,Netgear L-Shaped Workstation,Furniture,Desk,Netgear,668.98,371.78,23,2024,Active
PRD-000103,Lenovo Cisco Meraki AP,Networking,Access Point,Lenovo,1610.82,1154.23,21,2023,Active
PRD-000104,ASUS D-Link DIR,Networking,Router,ASUS,713.27,362.67,31,2024,Active
PRD-000105,Netgear Aruba Instant On,Networking,Access Point,Netgear,1062.18,551.17,17,2022,Active
PRD-000106,Cisco TP-Link Omada,Networking,Access Point,Cisco,2360.6,1193.66,29,2023,Active
PRD-000107,Herman Miller Photo Paper,Office Supplies,Paper,Herman Miller,235.77,148.89,21,2025,Discontinued
PRD-000108,Netgear TP-Link Archer,Networking,Router,Netgear,442.27,200.51,32,2024,Active
PRD-000109,Sony Archive Cabinet,Furniture,Cabinet,Sony,2491.43,1754.52,34,2023,Active
PRD-000110,Dell Executive Desk,Furniture,Desk,Dell,1784.1,1321.21,33,2023,Active
PRD-000111,ASUS Meeting Notebook,Office Supplies,Notebook,ASUS,722.33,483.79,23,2021,Active
PRD-000112,TP-Link Uni-ball Eye,Office Supplies,Pen,TP-Link,1081.01,504.99,19,2025,Active
PRD-000113,Steelcase ErgoFlex Pro,Furniture,Chair,Steelcase,444.39,277.46,35,2022,Active
PRD-000114,HP Cisco Business Router,Networking,Router,HP,2122.97,1261.67,17,2024,Active
PRD-000115,Bose HP Business Keyboard,Accessories,Keyboard,Bose,1968.35,1465.32,30,2021,Active
PRD-000116,Brother Sony WH-1000XM5,Accessories,Headset,Brother,1021.3,754.58,33,2022,Active
PRD-000117,Brother Vertical File Cabinet,Furniture,Cabinet,Brother,266.21,198.09,24,2020,Active
PRD-000118,ASUS Meeting Notebook,Office Supplies,Notebook,ASUS,697.28,483.61,36,2023,Active
PRD-000119,Canon Ubiquiti UniFi,Networking,Access Point,Canon,907.41,544.05,26,2022,Active
PRD-000120,ASUS Microsoft Designer Keyboard,Accessories,Keyboard,ASUS,1908.87,1365.25,32,2020,Active
PRD-000121,Herman Miller Xerox VersaLink,Electronics,Printer,Herman Miller,618.54,327.26,25,2024,Active
PRD-000122,LG Archive Cabinet,Furniture,Cabinet,LG,2235.01,1602.79,21,2021,Active
PRD-000123,Dell Meeting Notebook,Office Supplies,Notebook,Dell,2404.91,1147.29,15,2022,Active
PRD-000124,Microsoft Sony WH-1000XM5,Accessories,Headset,Microsoft,1979.91,1468.49,28,2022,Active
PRD-000125,Brother Premium Printer Paper,Office Supplies,Paper,Brother,1375.76,1002.84,24,2021,Active
PRD-000126,LG Netgear Insight AP,Networking,Access Point,LG,1237.36,892.21,31,2021,Active
PRD-000127,Epson Sony WH-1000XM5,Accessories,Headset,Epson,1051.88,544.98,12,2022,Active
PRD-000128,HP Wooden File Cabinet,Furniture,Cabinet,HP,848.1,482.73,30,2025,Active
PRD-000129,Lenovo Samsung ViewFinity,Electronics,Monitor,Lenovo,2068.82,1499.4,19,2020,Active
PRD-000130,Samsung Microsoft Designer Keyboard,Accessories,Keyboard,Samsung,172.83,128.72,12,2025,Active
PRD-000131,HP Canon imageCLASS,Electronics,Printer,HP,2422.44,1491.08,34,2024,Active
PRD-000132,Ubiquiti Jabra Evolve2 65,Accessories,Headset,Ubiquiti,2133.03,1481.36,35,2025,Active
PRD-000133,HP Pilot G2,Office Supplies,Pen,HP,347.19,218.47,20,2021,Active
PRD-000134,Vertex ASUS RT-AX,Networking,Router,Vertex,1316.6,904.63,34,2020,Active
PRD-000135,LG Brother HL-L3270,Electronics,Printer,LG,1196.44,819.78,32,2022,Active
PRD-000136,Microsoft Photo Paper,Office Supplies,Paper,Microsoft,558.49,277.61,32,2023,Active
PRD-000137,Dell Logitech Zone,Accessories,Headset,Dell,1335.22,793.13,14,2022,Discontinued
PRD-000138,HP ErgoFlex Pro,Furniture,Chair,HP,364.6,263.84,32,2024,Active
PRD-000139,ASUS ErgoFlex Pro,Furniture,Chair,ASUS,798.29,566.37,21,2021,Active
PRD-000140,Logitech Poly Voyager,Accessories,Headset,Logitech,912.08,511.84,22,2024,Active
PRD-000141,Steelcase Netgear Nighthawk,Networking,Router,Steelcase,1331.02,852.9,19,2024,Active
PRD-000142,Canon TP-Link Easy Smart,Networking,Switch,Canon,1386.57,933.01,26,2020,Active
PRD-000143,Bose Compact Office Desk,Furniture,Desk,Bose,2119.94,1052.25,33,2024,Active
PRD-000144,TP-Link Vertex Office Chair,Furniture,Chair,TP-Link,1368.91,756.24,28,2020,Discontinued
PRD-000145,Sony HP Business Keyboard,Accessories,Keyboard,Sony,2342.18,1253.81,21,2020,Active
PRD-000146,Lenovo Logitech Zone,Accessories,Headset,Lenovo,835.1,491.53,17,2025,Active
PRD-000147,Steelcase Microsoft Designer Keyboard,Accessories,Keyboard,Steelcase,2034.89,1228.3,35,2024,Active
PRD-000148,Lenovo D-Link Managed Switch,Networking,Switch,Lenovo,954.11,451.2,36,2021,Active
PRD-000149,ASUS D-Link Managed Switch,Networking,Switch,ASUS,973.57,530.23,30,2021,Active
PRD-000150,HP D-Link DIR,Networking,Router,HP,1979.79,1112.9,22,2025,Active
PRD-000151,Brother Cisco Meraki AP,Networking,Access Point,Brother,1649.27,742.24,36,2022,Active
PRD-000152,Dell Metal Storage Cabinet,Furniture,Cabinet,Dell,533.26,351.16,31,2023,Active
PRD-000153,Epson Microsoft Ergonomic Mouse,Accessories,Mouse,Epson,211.62,96.29,33,2020,Active
PRD-000154,HP Keychron K8,Accessories,Keyboard,HP,350.83,230.06,36,2024,Active
PRD-000155,Samsung ASUS ExpertBook B5,Electronics,Laptop,Samsung,339.48,172.83,36,2024,Discontinued
PRD-000156,Brother Netgear Nighthawk,Networking,Router,Brother,1039.77,692.54,20,2020,Active
PRD-000157,Sony Aruba Instant On,Networking,Access Point,Sony,776.98,499.38,13,2023,Active
PRD-000158,Bose Compact Office Desk,Furniture,Desk,Bose,2119.76,1138.49,23,2025,Active
PRD-000159,Lenovo Bose QC Ultra,Accessories,Headset,Lenovo,1508.26,695.3,36,2021,Active
PRD-000160,Dell HP Bluetooth Mouse,Accessories,Mouse,Dell,2121.01,1051.68,12,2024,Discontinued
PRD-000161,Cisco L-Shaped Workstation,Furniture,Desk,Cisco,1121.24,539.16,16,2022,Active
PRD-000162,Vertex Executive Mesh Chair,Furniture,Chair,Vertex,2011.54,1212.36,30,2022,Active
PRD-000163,Samsung Herman Miller Aeron,Furniture,Chair,Samsung,205.69,97.51,14,2022,Active
PRD-000164,Vertex Executive Desk,Furniture,Desk,Vertex,1261.27,920.23,14,2021,Active
PRD-000165,Canon Presentation Paper,Office Supplies,Paper,Canon,1086.92,624.53,29,2025,Discontinued
PRD-000166,Vertex Presentation Paper,Office Supplies,Paper,Vertex,973.68,566.08,19,2021,Discontinued
PRD-000167,Samsung BenQ PD2705,Electronics,Monitor,Samsung,1809.27,881.62,21,2024,Discontinued
PRD-000168,Epson Netgear Nighthawk,Networking,Router,Epson,499.83,321.4,12,2020,Active
PRD-000169,Bose Cisco Catalyst,Networking,Switch,Bose,1898.75,1168.34,31,2022,Active
PRD-000170,Logitech TP-Link Archer,Networking,Router,Logitech,1971.41,1246.27,35,2023,Active
PRD-000171,Canon Aruba Instant On,Networking,Access Point,Canon,1103.32,825.21,26,2021,Active
PRD-000172,Herman Miller Executive Desk,Furniture,Desk,Herman Miller,526.34,379.55,21,2021,Active
PRD-000173,Ubiquiti Spiral Notebook,Office Supplies,Notebook,Ubiquiti,985.08,593.04,15,2020,Active
PRD-000174,Lenovo Adjustable Desk,Furniture,Desk,Lenovo,1127.57,628.86,28,2022,Active
PRD-000175,Brother Aruba Instant On,Networking,Access Point,Brother,317.64,146.7,12,2020,Active
PRD-000176,Brother Cisco Business Router,Networking,Router,Brother,737.93,391.78,35,2022,Active
PRD-000177,Netgear Wooden File Cabinet,Furniture,Cabinet,Netgear,706.61,459.38,23,2025,Active
PRD-000178,Bose Epson EcoTank,Electronics,Printer,Bose,941.33,593.35,22,2022,Active
PRD-000179,Bose Photo Paper,Office Supplies,Paper,Bose,1179.05,631.2,19,2021,Active
PRD-000180,Lenovo Dell Latitude 7440,Electronics,Laptop,Lenovo,102.24,67.98,21,2023,Active
PRD-000181,Sony Microsoft Designer Keyboard,Accessories,Keyboard,Sony,1678.6,1168.87,31,2021,Discontinued
PRD-000182,Netgear Canon imageCLASS,Electronics,Printer,Netgear,2338.22,1643.17,23,2024,Active
PRD-000183,HP Herman Miller Aeron,Furniture,Chair,HP,1787.53,1030.32,12,2025,Active
PRD-000184,Sony Adjustable Desk,Furniture,Desk,Sony,1999.06,1374.42,26,2021,Active
PRD-000185,Dell Logitech Zone,Accessories,Headset,Dell,1366.03,1018.42,27,2020,Active
PRD-000186,Vertex Logitech MX Master 3S,Accessories,Mouse,Vertex,1251.76,924.92,17,2020,Active
PRD-000187,Canon ASUS ExpertBook B5,Electronics,Laptop,Canon,2288.53,1534.41,35,2022,Active
PRD-000188,Steelcase Netgear Smart Switch,Networking,Switch,Steelcase,2301.46,1039.86,34,2023,Active
PRD-000189,Netgear Ubiquiti Switch,Networking,Switch,Netgear,555.76,392.89,30,2024,Discontinued
PRD-000190,Herman Miller Hardcover Journal,Office Supplies,Notebook,Herman Miller,1516.99,838.82,13,2024,Active
PRD-000191,Microsoft Vertex Office Chair,Furniture,Chair,Microsoft,1352.68,944.37,21,2022,Active
PRD-000192,Lenovo Cisco Meraki AP,Networking,Access Point,Lenovo,2295.97,1668.07,27,2021,Active
PRD-000193,Ubiquiti Keychron K8,Accessories,Keyboard,Ubiquiti,70.45,33.52,24,2023,Active
PRD-000194,Samsung Executive Mesh Chair,Furniture,Chair,Samsung,1522.84,1062.19,13,2023,Active
PRD-000195,Logitech Acer Nitro XV,Electronics,Monitor,Logitech,243.24,181.16,23,2023,Active
PRD-000196,HP Premium Printer Paper,Office Supplies,Paper,HP,2072.99,966.34,23,2021,Active
PRD-000197,Herman Miller HP EliteBook 840,Electronics,Laptop,Herman Miller,1752.4,1240.14,34,2020,Active
PRD-000198,Logitech Metal Storage Cabinet,Furniture,Cabinet,Logitech,1030.38,752.57,27,2020,Active
PRD-000199,HP Epson EcoTank,Electronics,Printer,HP,360.41,268.88,13,2022,Active
PRD-000200,ASUS Logitech MX Master 3S,Accessories,Mouse,ASUS,2452.39,1218.92,33,2023,Active
PRD-000201,Netgear Netgear Nighthawk,Networking,Router,Netgear,2021.91,1139.71,13,2022,Active
PRD-000202,HP HP LaserJet Pro,Electronics,Printer,HP,2406.45,1293.8,17,2024,Discontinued
PRD-000203,Dell Logitech Zone,Accessories,Headset,Dell,1123.59,750.48,36,2023,Active
PRD-000204,Microsoft Meeting Notebook,Office Supplies,Notebook,Microsoft,2265.08,1449.78,26,2021,Active
PRD-000205,HP Cisco Catalyst,Networking,Switch,HP,2059.22,1064.1,23,2020,Active
PRD-000206,Netgear Metal Storage Cabinet,Furniture,Cabinet,Netgear,2155.86,1425.18,36,2023,Discontinued
PRD-000207,Samsung Dell Latitude 7440,Electronics,Laptop,Samsung,2413.68,1210.34,22,2021,Discontinued
PRD-000208,Brother HP LaserJet Pro,Electronics,Printer,Brother,1599.26,1110.35,16,2020,Active
PRD-000209,Samsung HP LaserJet Pro,Electronics,Printer,Samsung,1500.34,829.56,25,2025,Active
PRD-000210,Dell Poly Voyager,Accessories,Headset,Dell,506.65,314.87,18,2025,Active
PRD-000211,Microsoft Dell Latitude 7440,Electronics,Laptop,Microsoft,1046.68,718.5,23,2023,Discontinued
PRD-000212,Herman Miller Compact Office Desk,Furniture,Desk,Herman Miller,966.84,473.42,16,2023,Active
PRD-000213,Samsung Executive Notebook,Office Supplies,Notebook,Samsung,908.3,662.57,26,2024,Active
PRD-000214,Netgear Premium Printer Paper,Office Supplies,Paper,Netgear,1805.77,1136.05,14,2020,Active
PRD-000215,Epson Dell KB216,Accessories,Keyboard,Epson,592.86,399.02,30,2025,Active
PRD-000216,Bose Dell Latitude 7440,Electronics,Laptop,Bose,421.43,270.27,19,2023,Active
PRD-000217,Steelcase Parker Jotter,Office Supplies,Pen,Steelcase,1395.17,670.36,25,2022,Active
PRD-000218,Vertex Luxor Gel Pen,Office Supplies,Pen,Vertex,518.11,346.98,16,2025,Active
PRD-000219,Cisco Cisco Catalyst,Networking,Switch,Cisco,1448.99,1062.1,17,2024,Discontinued
PRD-000220,Lenovo Sony WH-1000XM5,Accessories,Headset,Lenovo,1588.26,1125.36,29,2024,Active
PRD-000221,ASUS Spiral Notebook,Office Supplies,Notebook,ASUS,1162.82,820.14,28,2024,Active
PRD-000222,TP-Link Presentation Paper,Office Supplies,Paper,TP-Link,2161.83,1346.14,19,2024,Active
PRD-000223,Dell TP-Link Easy Smart,Networking,Switch,Dell,1194.95,559.38,14,2021,Discontinued
PRD-000224,Dell Bose QC Ultra,Accessories,Headset,Dell,1098.36,607.28,22,2022,Active
PRD-000225,Canon TP-Link Omada,Networking,Access Point,Canon,460.68,219.14,28,2023,Active
PRD-000226,Ubiquiti Sony WH-1000XM5,Accessories,Headset,Ubiquiti,1261.4,585.09,19,2021,Active
PRD-000227,Samsung Photo Paper,Office Supplies,Paper,Samsung,1254.9,673.22,24,2021,Active
PRD-000228,Lenovo Netgear Nighthawk,Networking,Router,Lenovo,1353.89,866.73,34,2024,Active
PRD-000229,Ubiquiti ErgoFlex Pro,Furniture,Chair,Ubiquiti,2048.86,1113.62,26,2020,Active
PRD-000230,Microsoft Parker Jotter,Office Supplies,Pen,Microsoft,2403.43,1304.87,20,2023,Active
PRD-000231,Logitech Adjustable Desk,Furniture,Desk,Logitech,1901.41,922.0,16,2021,Active
PRD-000232,Dell Executive Desk,Furniture,Desk,Dell,179.68,118.91,32,2022,Active
PRD-000233,Epson Acer Nitro XV,Electronics,Monitor,Epson,1327.39,684.82,14,2024,Active
PRD-000234,Logitech Netgear Smart Switch,Networking,Switch,Logitech,1589.8,911.15,34,2021,Active
PRD-000235,Steelcase ASUS RT-AX,Networking,Router,Steelcase,1365.51,918.69,17,2024,Active
PRD-000236,Samsung Executive Notebook,Office Supplies,Notebook,Samsung,228.31,142.35,35,2025,Active
PRD-000237,Logitech Logitech MX Keys,Accessories,Keyboard,Logitech,994.2,543.24,22,2020,Active
PRD-000238,Vertex ASUS RT-AX,Networking,Router,Vertex,1045.91,510.03,19,2023,Active
PRD-000239,Canon Pilot G2,Office Supplies,Pen,Canon,1190.22,674.95,32,2020,Active
PRD-000240,TP-Link LG UltraFine 32,Electronics,Monitor,TP-Link,2141.36,1372.58,20,2020,Active
PRD-000241,Lenovo Netgear Insight AP,Networking,Access Point,Lenovo,1628.1,774.83,36,2022,Active
PRD-000242,Dell TP-Link Easy Smart,Networking,Switch,Dell,2223.71,1070.0,14,2022,Active
PRD-000243,Epson Dell KB216,Accessories,Keyboard,Epson,1268.13,882.33,13,2024,Discontinued
PRD-000244,Steelcase Netgear Insight AP,Networking,Access Point,Steelcase,586.16,413.01,13,2022,Active
PRD-000245,Steelcase L-Shaped Workstation,Furniture,Desk,Steelcase,1665.59,887.35,15,2022,Discontinued
PRD-000246,Herman Miller TP-Link Easy Smart,Networking,Switch,Herman Miller,1745.05,1220.19,33,2024,Active
PRD-000247,Bose Logitech MX Keys,Accessories,Keyboard,Bose,1830.0,1315.7,27,2022,Active
PRD-000248,LG Jabra Evolve2 65,Accessories,Headset,LG,1039.21,568.14,26,2025,Discontinued
PRD-000249,Canon TP-Link Easy Smart,Networking,Switch,Canon,1931.62,1353.22,33,2024,Active
PRD-000250,ASUS Executive Mesh Chair,Furniture,Chair,ASUS,1624.15,787.03,36,2025,Active
PRD-000251,Lenovo Executive Desk,Furniture,Desk,Lenovo,855.16,448.18,31,2022,Active
PRD-000252,Bose Acer Nitro XV,Electronics,Monitor,Bose,1528.2,1133.19,30,2023,Active
PRD-000253,Herman Miller Canon imageCLASS,Electronics,Printer,Herman Miller,1200.61,573.48,13,2025,Active
PRD-000254,Bose Jabra Evolve2 65,Accessories,Headset,Bose,1412.42,902.91,14,2024,Active
PRD-000255,Lenovo Mobile Pedestal,Furniture,Cabinet,Lenovo,223.74,142.96,26,2020,Active
PRD-000256,Brother Netgear Nighthawk,Networking,Router,Brother,270.05,123.66,20,2025,Active
PRD-000257,Steelcase Standing Desk Pro,Furniture,Desk,Steelcase,208.99,101.51,29,2020,Active
PRD-000258,Sony ASUS ExpertBook B5,Electronics,Laptop,Sony,728.37,482.85,36,2021,Active
PRD-000259,Netgear Photo Paper,Office Supplies,Paper,Netgear,1490.84,861.69,24,2021,Active
PRD-000260,Dell Ubiquiti Switch,Networking,Switch,Dell,444.69,321.64,20,2024,Active
PRD-000261,ASUS Netgear Smart Switch,Networking,Switch,ASUS,1861.8,1307.91,14,2024,Discontinued
PRD-000262,Canon TP-Link Omada,Networking,Access Point,Canon,975.01,596.18,15,2025,Active
